Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,08:00,24.3,1.4,213.9,1011.2,23.2,90.0,0.0,0.0,93.4,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,09:00,25.4,1.7,223.9,1011.1,23.2,90.0,0.0,0.0,87.6,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,10:00,26.2,1.8,223.9,1010.7,22.3,100.0,0.0,0.0,79.4,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,11:00,27.2,1.7,223.9,1010.1,22.0,90.0,0.0,0.0,73.6,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,12:00,28.1,1.6,213.9,1009.3,22.4,90.0,0.0,0.0,71.3,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,13:00,28.6,1.8,213.9,1008.4,23.6,90.0,0.0,0.0,74.7,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,14:00,28.8,1.9,229.4,1007.5,23.8,81.1,0.1,0.0,74.4,Nublado - Llovizna
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,15:00,28.6,1.4,253.5,1006.9,24.4,73.9,0.4,0.0,78.0,Parcialmente Nublado - Llovizna
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,16:00,27.8,1.2,263.5,1006.8,25.1,70.0,1.1,0.0,85.2,Parcialmente Nublado - Lluvia Fuerte
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,17:00,26.6,1.1,268.9,1007.1,24.5,60.7,1.3,0.0,88.5,Parcialmente Nublado - Lluvia Fuerte
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,18:00,25.0,1.0,257.9,1008.1,23.4,60.0,1.4,0.0,91.0,Parcialmente Nublado - Lluvia Fuerte
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,19:00,23.7,0.9,185.6,1009.2,22.4,60.0,0.8,0.0,92.7,Parcialmente Nublado - Lluvia Fuerte
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,20:00,23.2,1.2,177.3,1009.9,22.2,80.0,0.6,0.0,93.9,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,21:00,22.9,1.4,183.2,1010.4,21.9,70.0,0.0,0.0,94.4,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,22:00,22.7,1.6,183.9,1010.8,21.8,70.0,0.0,0.0,94.6,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-08,23:00,22.6,1.7,193.5,1010.8,21.7,70.0,0.1,0.0,95.1,Parcialmente Nublado - Llovizna
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-09,00:00,22.4,1.8,193.5,1010.5,21.8,70.0,0.0,0.0,96.5,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-09,01:00,22.4,1.8,193.5,1010.0,21.8,79.6,0.0,0.0,96.8,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-09,02:00,22.4,2.0,193.5,1009.2,21.9,90.0,0.0,0.0,97.0,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-09,03:00,22.4,2.1,193.5,1009.1,22.0,90.0,0.0,0.0,97.3,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-09,04:00,22.4,1.9,199.4,1009.4,22.0,90.0,0.0,0.0,97.5,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-09,05:00,22.4,1.8,193.9,1009.9,21.9,90.0,0.0,0.0,97.5,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-09,06:00,22.3,1.8,193.5,1010.4,21.9,85.5,0.0,0.0,97.5,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-09,07:00,23.0,1.7,200.0,1010.9,22.4,86.1,0.0,0.0,96.5,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-09,08:00,23.9,1.8,213.9,1011.6,22.7,90.0,0.0,0.0,92.8,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-09,09:00,25.4,2.0,213.9,1011.7,22.9,90.0,0.0,0.0,86.2,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-09,10:00,27.1,2.2,220.4,1011.5,22.6,80.0,0.0,0.0,76.3,Nublado
